atqro_code,atq_code,atqro_label,atqro_sequence,atqro_is_default,atqro_is_active,atqro_score_risk
A-01-1,A-01,Agents have full access to all tools without limits.,1,Y,Y,0
A-01-2,A-01,Static access control; No runtime policy checks.,2,N,Y,25
A-01-3,A-01,Role-based tool access assigned per agent persona.,3,N,Y,50
A-01-4,A-01,Runtime policy checks for action approval using a policy-as-code engine or equivalent.,4,N,Y,75
A-01-5,A-01,Context-aware execution with dynamic tool scoping via a dynamic tool-scoping engine.,5,N,Y,100
A-02-1,A-02,Agents pursue unintended or unbounded objectives.,1,Y,Y,0
A-02-2,A-02,Manual monitoring of agent logs for goal drift.,2,N,Y,25
A-02-3,A-02,Strictly bounded prompts with termination criteria.,3,N,Y,50
A-02-4,A-02,Scoped objectives and iteration limits defined via agent framework callbacks.,4,N,Y,75
A-02-5,A-02,Strict outcome validation using Pydantic output schemas to prevent deviation.,5,N,Y,100
A-03-1,A-03,Malicious context directly hijacks agent reasoning.,1,Y,Y,0
A-03-2,A-03,Basic input sanitisation for known attack strings.,2,N,Y,25
A-03-3,A-03,Policy-as-code engines used for global approval pre-execution.,3,N,Y,50
A-03-4,A-03,Multi-layer guardians on reasoning path via a policy-as-code engine.,4,N,Y,75
A-03-5,A-03,Zero-trust context architecture using a context classification firewall or similar tool.,5,N,Y,100
A-04-1,A-04,Agent operates as root or with administrative privileges.,1,Y,Y,0
A-04-2,A-04,"Hardcoded credentials; Broad access across systems.",2,N,Y,25
A-04-3,A-04,"Least-privilege permissions; Limits to non-destructive tools.",3,N,Y,50
A-04-4,A-04,Dynamic permission scoping based on task context via a dynamic permission-scoping engine.,4,N,Y,75
A-04-5,A-04,Just-in-time token and restricted session privileges managed via a workflow orchestration engine.,5,N,Y,100
A-05-1,A-05,Universal memory shared across all agent cohorts.,1,Y,Y,0
A-05-2,A-05,Manual intervention to clear session data periodically.,2,N,Y,25
A-05-3,A-05,Per-session memory isolation implemented.,3,N,Y,50
A-05-4,A-05,Isolated vector stores using vector database namespaces to prevent contamination.,4,N,Y,75
A-05-5,A-05,Cryptographic tenant isolation in memory via PGVector per-tenant stores.,5,N,Y,100
A-06-1,A-06,No monitoring for recursive tool calling.,1,Y,Y,0
A-06-2,A-06,Manual stop implemented when resource costs spike.,2,N,Y,25
A-06-3,A-06,Iteration limits and hard stops enforced at the orchestration level.,3,N,Y,50
A-06-4,A-06,Recursion limits and loop detection callbacks via an agent orchestration framework.,4,N,Y,75
A-06-5,A-06,Automated circuit breakers for recursive patterns via an agent observability platform.,5,N,Y,100
A-07-1,A-07,Agents send sensitive data to unintended endpoints.,1,Y,Y,0
A-07-2,A-07,Basic egress filtering on known tool endpoints.,2,N,Y,25
A-07-3,A-07,Static DLP scanning on exfiltration paths.,3,N,Y,50
A-07-4,A-07,Inline redaction of PII/secrets in agent tool outputs via a PII redaction engine.,4,N,Y,75
A-07-5,A-07,Real-time exfiltration blocking using a DLP scanning engine or an LLM input/output firewall.,5,N,Y,100
A-08-1,A-08,Fully autonomous execution of high-risk financial actions.,1,Y,Y,0
A-08-2,A-08,"Post-execution alerts; No ability to halt actions.",2,N,Y,25
A-08-3,A-08,Manual flagging of critical tasks for potential review.,3,N,Y,50
A-08-4,A-08,Risk-scored task classification and approval queues via n8n nodes.,4,N,Y,75
A-08-5,A-08,Hard human-in-the-loop gating for all financial tasks via an agent workflow framework.,5,N,Y,100
A-09-1,A-09,Excessive context leading to model hallucinations.,1,Y,Y,0
A-09-2,A-09,Manual prompt engineering to reduce context window usage.,2,N,Y,25
A-09-3,A-09,Hard token limits enforced on context windows.,3,N,Y,50
A-09-4,A-09,Dynamic context truncation and window management via an agent orchestration framework.,4,N,Y,75
A-09-5,A-09,Intelligent and schema validation via a context management and hallucination detection tool.,5,N,Y,100
A-10-1,A-10,Chaining benign tools for malicious outcomes.,1,Y,Y,0
A-10-2,A-10,Manual review of common tool-chain runbooks.,2,N,Y,25
A-10-3,A-10,Policy-as-code approval for common sequences.,3,N,Y,50
A-10-4,A-10,Multi-stage validation with anomaly scoring via a data validation framework.,4,N,Y,75
A-10-5,A-10,Trust-scored and notarised accuracy weighting via Bayesian models.,5,N,Y,100
C-01-1,C-01,Unverified/unknown servers receive agent context.,1,Y,Y,0
C-01-2,C-01,Manual checking of endpoints against static list.,2,N,Y,25
C-01-3,C-01,GitOps change control for configurations.,3,N,Y,50
C-01-4,C-01,Whitelist of approved endpoints via a GitOps deployment engine.,4,N,Y,75
