"af_name","at_name","atmp_code","atq_code","atq_text","atq_response_type","atq_question_type","atq_is_mandatory","atq_is_active","atq_sequence"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-02","How effectively is the vendor's system configured and validated to meet your specific regulatory and business rule requirements?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-04","How well does the vendor provide mechanisms to monitor output quality and notify customers of model-driven decision degradation?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-06","How comprehensively does the vendor provide structured audit logs of AI decisions to support independent verification and regulatory compliance?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-09","How well does the vendor design their system using portable, standards-based interfaces to enable seamless migration and prevent strategic lock-in?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-10","How effectively does the vendor document and enforce integrity controls over their model build and deployment pipeline?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-11","How comprehensively does the vendor provide contractual SLAs committing to defined availability, performance, and remedies?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-12","How effectively does the vendor contractually commit to notifying customers of security incidents, outages, and safety events in a timely manner?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-13","To what extent does the vendor provide contractual audit rights to independently verify their AI-related controls and security practices?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-14","How comprehensively does the vendor disclose which subprocessors handle customer data to support GDPR Article 28 compliance?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Third Party AI Risk Framework","governr Position Third Party System Risk Assessment","GOVR-TP-SYSTEM-RISK","S-15","How effectively does the vendor demonstrate alignment with AI-specific regulatory frameworks applicable to your deployment context?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-01","How effectively does the vendor implement injection defences and allow customers to layer additional filtering to protect model behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Third Party AI Risk Framework","governr Position Third Party Model Risk Assessment","GOVR-TP-MODEL-RISK","M-04","How rigorously does the vendor test and document model safety guardrails against bypass and jailbreaking techniques?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
