Response Code,Risk ID,Asset Type,Risk Name,Score,Maturity Level,Response Option
AGT-Q01-R01,AGT-Q01,Agent,Tool Misuse,0,Gap,Agents have full access to all tools without limits.
AGT-Q01-R02,AGT-Q01,Agent,Tool Misuse,25,Weak,Static access control; no runtime policy checks.
AGT-Q01-R03,AGT-Q01,Agent,Tool Misuse,50,Baseline,Role-based tool access assigned per agent persona.
AGT-Q01-R04,AGT-Q01,Agent,Tool Misuse,75,Robust,Runtime policy checks for action approval using Open Policy Agent (OPA) or Casbin.
AGT-Q01-R05,AGT-Q01,Agent,Tool Misuse,100,Compliant,Context-aware execution with dynamic tool scoping via Pydantic AI validators.
AGT-Q02-R01,AGT-Q02,Agent,Goal Misalignment,0,Gap,Agents pursue unintended or unbounded objectives.
AGT-Q02-R02,AGT-Q02,Agent,Goal Misalignment,25,Weak,Manual monitoring of agent logs for goal drift.
AGT-Q02-R03,AGT-Q02,Agent,Goal Misalignment,50,Baseline,Strictly bounded prompts with termination criteria.
AGT-Q02-R04,AGT-Q02,Agent,Goal Misalignment,75,Robust,Scoped objectives and iteration limits defined via LangChain callbacks.
AGT-Q02-R05,AGT-Q02,Agent,Goal Misalignment,100,Compliant,Strict outcome validation using Pydantic output schemas to prevent drift.
AGT-Q03-R01,AGT-Q03,Agent,Prompt Injection,0,Gap,Malicious context directly hijacks agent reasoning.
AGT-Q03-R02,AGT-Q03,Agent,Prompt Injection,25,Weak,Basic input sanitisation for known attack strings.
AGT-Q03-R03,AGT-Q03,Agent,Prompt Injection,50,Baseline,Policy-as-code engines used for plan approval pre-execution.
AGT-Q03-R04,AGT-Q03,Agent,Prompt Injection,75,Robust,Multi-layer guardrails on reasoning paths via Open Policy Agent (OPA).
AGT-Q03-R05,AGT-Q03,Agent,Prompt Injection,100,Compliant,Zero-trust context architecture using Lakera Guard to isolate agent reasoning.
AGT-Q04-R01,AGT-Q04,Agent,Privilege Escalation,0,Gap,Agent operates as root or with administrative privileges.
AGT-Q04-R02,AGT-Q04,Agent,Privilege Escalation,25,Weak,Hardcoded credentials; broad access across systems.
AGT-Q04-R03,AGT-Q04,Agent,Privilege Escalation,50,Baseline,Least-privilege permissions; limited to non-destructive tools.
AGT-Q04-R04,AGT-Q04,Agent,Privilege Escalation,75,Robust,Dynamic permission scoping based on task context via SpiffWorkflow.
AGT-Q04-R05,AGT-Q04,Agent,Privilege Escalation,100,Compliant,Just-in-time tokens and restricted session-based privileges via Temporal.io.
AGT-Q05-R01,AGT-Q05,Agent,Shared State Poisoning,0,Gap,Universal memory shared across all agent cohorts.
AGT-Q05-R02,AGT-Q05,Agent,Shared State Poisoning,25,Weak,Manual intervention to clear session data periodically.
AGT-Q05-R03,AGT-Q05,Agent,Shared State Poisoning,50,Baseline,Per-session memory isolation implemented.
AGT-Q05-R04,AGT-Q05,Agent,Shared State Poisoning,75,Robust,Isolated vector stores using Pinecone namespaces to prevent contamination.
AGT-Q05-R05,AGT-Q05,Agent,Shared State Poisoning,100,Compliant,Cryptographic tenant isolation in memory via PGVector per-tenant stores.
AGT-Q06-R01,AGT-Q06,Agent,Infinite Loops,0,Gap,No monitoring for recursive tool calling.
AGT-Q06-R02,AGT-Q06,Agent,Infinite Loops,25,Weak,Manual stop implemented when resource costs spike.
AGT-Q06-R03,AGT-Q06,Agent,Infinite Loops,50,Baseline,Iteration limits enforced at the orchestrator level.
AGT-Q06-R04,AGT-Q06,Agent,Infinite Loops,75,Robust,Recursion limits and loop detection callbacks via LangChain.
AGT-Q06-R05,AGT-Q06,Agent,Infinite Loops,100,Compliant,Automated circuit breakers for recursive patterns via Resilience4j.
AGT-Q07-R01,AGT-Q07,Agent,Data Exfiltration,0,Gap,Agents send sensitive data to unverified endpoints.
AGT-Q07-R02,AGT-Q07,Agent,Data Exfiltration,25,Weak,Basic egress filtering on known tool endpoints.
AGT-Q07-R03,AGT-Q07,Agent,Data Exfiltration,50,Baseline,Static DLP scanning on common exfiltration paths.
AGT-Q07-R04,AGT-Q07,Agent,Data Exfiltration,75,Robust,Inline redaction of PII/secrets in agent tool outputs via Presidio.
AGT-Q07-R05,AGT-Q07,Agent,Data Exfiltration,100,Compliant,Real-time exfiltration blocking using Nightfall AI or Lakera Guard.
AGT-Q08-R01,AGT-Q08,Agent,Over-Automation,0,Gap,Fully autonomous execution of high-risk financial actions.
AGT-Q08-R02,AGT-Q08,Agent,Over-Automation,25,Weak,Post-execution alerts; no ability to halt actions.
