Risk ID,Asset Type,Risk Name,CONTEXT,Score 0 (Gap),Score 25 (Weak),Score 50 (Baseline),Score 75 (Robust),Score 100 (Compliant)
A-01,Agent,Tool Misuse,Third-Party,Vendor does not document what tools the agent can access or what actions it can take,Vendor provides a general description of agent capabilities but no tool-level detail,Vendor publishes a tool inventory with defined permission boundaries per capability,Vendor enforces runtime tool policies with customer-configurable restrictions,"Granular, auditable tool access with customer-defined policies and real-time enforcement"
A-02,Agent,Goal Misalignment,Third-Party,"Vendor does not document agent objectives, constraints, or termination criteria",Vendor describes agent purpose in general terms but provides no formal constraint specification,"Vendor documents agent objectives, iteration limits, and termination conditions","Customer can configure agent objectives, constraints, and escalation behavior",Formal objective specification with runtime validation and independent audit of constraint adherence
A-03,Agent,Prompt Injection,Third-Party,Agent processes external data sources without any injection defense,Vendor acknowledges indirect injection risk but provides no specific defenses,Vendor implements input sanitization and context boundary separation for external data,Vendor provides layered defenses with customer-configurable input policies and red-team evidence,Continuous adversarial testing against indirect injection with published benchmarks and real-time defense updates
A-07,Agent,Data Exfiltration,Third-Party,Agent can send data to arbitrary external endpoints without restriction or logging,Vendor claims egress controls exist but provides no customer visibility,Vendor documents permitted egress endpoints and provides basic activity logging,Customer can configure egress restrictions and receives real-time visibility into agent data flows,"Verified egress controls with DLP scanning, customer-managed network policies, and independent audit"
A-08,Agent,Over-Automation,Third-Party,Agent executes all actions autonomously with no human approval gates,Vendor provides post-execution notifications but no pre-execution approval,Vendor classifies actions by risk level and requires manual approval for high-risk actions,"Customer can configure approval policies by action type, risk level, and context",Mandatory human-in-the-loop for all high-risk actions with contractual enforcement and audit trail
A-11,Agent,Action Transparency,Third-Party,Vendor provides no visibility into what actions the agent performs,Vendor provides summary-level activity reports with limited detail,"Vendor provides action-level logs showing what the agent did, when, and on what data","Detailed, structured action logs with full reasoning traces exportable in standard formats","Immutable, tamper-proof action logs with independent audit and regulatory-grade traceability"
A-12,Agent,Scope Boundaries,Third-Party,No contractual or technical mechanism to limit what the agent can do in your environment,General contractual language about agent scope but no technical enforcement,Contract defines agent scope with basic technical enforcement via permissions,Customer-configurable scope boundaries with technical enforcement and violation alerting,"Formally specified scope boundaries with runtime enforcement, audit, and contractual penalties"
A-13,Agent,Vendor Agent Updates,Third-Party,Agent behavior and capabilities change without any customer notification,Vendor announces major agent changes via blog or email but minor changes are unannounced,Vendor maintains a changelog for agent capabilities and notifies customers of updates,"Vendor provides advance notice, version pinning, and staging environments to test changes",Contractual stability guarantees with customer-controlled update schedule and rollback capability
A-14,Agent,Kill Switch,Third-Party,No mechanism to immediately stop the agent or revoke its access,Agent can be stopped via support request but not in real time,Self-service mechanism to stop the agent and revoke its access credentials,Instant kill switch with automated rollback of in-flight actions,Contractually guaranteed kill switch with defined response time SLA and independent verification
A-15,Agent,Liability & Accountability,Third-Party,No contractual terms addressing liability for agent actions or decisions,Standard limitation of liability clause with no AI-specific provisions,Contract includes AI-specific liability provisions covering agent actions within defined scope,Comprehensive liability framework with tiered accountability based on action risk level,"Full indemnification with escrow, insurance evidence, and regulatory-aligned accountability framework"
C-01,MCP Server,Rogue MCP Servers,Third-Party,MCP server source is unknown or unverifiable with no trust chain,MCP server from a named vendor but with no verification mechanism,MCP server distributed with integrity verification and published by an identifiable vendor,MCP server from a vetted registry with provenance attestation and vulnerability scanning,"MCP server with full supply chain verification, independent security audit, and continuous monitoring"
C-02,MCP Server,Context Oversharing,Third-Party,MCP tool receives full agent context including all conversation history and system prompts,Vendor claims context is limited but provides no evidence or customer controls,MCP tool receives only the parameters documented in its schema with no extraneous context,Context minimization enforced with customer-visible data flow and PII filtering,Verified data minimization with independent audit and customer-managed filtering policies
C-04,MCP Server,Tool Injection,Third-Party,MCP server can execute arbitrary code in the host environment without restriction,MCP server runs with limited permissions but no formal sandboxing or code verification,MCP server runs in a sandboxed environment with signed and verified code,Runtime integrity verification with least-privilege execution and customer-configurable restrictions,Fully sandboxed execution with independent security audit and cryptographic attestation
C-05,MCP Server,MCP Chain Abuse,Third-Party,"MCP tools can be chained without restriction, enabling unintended multi-step operations",Vendor documents common tool chains but provides no enforcement of approved sequences,Tool chaining policies defined and enforced with logging of multi-tool sequences,Customer-configurable chain policies with anomaly detection on tool sequences,"Zero-trust tool chaining with per-step approval, independent audit, and contractual guarantees"
C-07,MCP Server,Weak Tool Auth,Third-Party,MCP server accepts all incoming calls without authentication or caller verification,MCP server uses shared API keys with no per-caller identity or context validation,MCP server authenticates callers with per-agent credentials and basic authorization,Context-aware authentication with short-lived tokens and caller identity verification,"Just-in-time authentication with mutual TLS, cryptographic caller attestation, and independent audit"
C-11,MCP Server,MCP Vendor Vetting,Third-Party,MCP server vendor has undergone no security vetting or due diligence,"Basic due diligence completed (e.g., company identity verified) but no security assessment",Vendor has completed a security questionnaire and provides basic security documentation,Vendor holds security certifications and has undergone third-party security assessment,Comprehensive vendor security program with continuous monitoring and customer-facing trust evidence
C-12,MCP Server,Data Return Policy,Third-Party,No information on whether the MCP server retains data after tool execution,Vendor claims data is not retained but provides no evidence or contractual guarantee,"Vendor documents data handling policy including what is retained, for how long, and why",Contractual guarantee of data handling with technical enforcement and audit evidence,Verified zero-retention or customer-controlled data lifecycle with independent audit
C-13,MCP Server,Permission Scope Declaration,Third-Party,MCP server does not declare what permissions or access it requires,General description of capabilities but no formal permission declaration,MCP server declares required permissions in a structured manifest before installation,Least-privilege permission declaration with customer approval workflow and runtime enforcement,Formally verified permission boundaries with independent audit and contractual guarantees
C-14,MCP Server,Update & Patch Cadence,Third-Party,"Vendor publishes no security updates, patches, or vulnerability disclosures",Vendor releases patches irregularly with no defined schedule or disclosure process,Vendor maintains a regular update cadence with security patches identified separately,Vendor provides timely security patches with defined SLAs and customer notification,Continuous security maintenance with independent vulnerability assessment and contractual patch SLAs
C-15,MCP Server,Revocation & Offboarding,Third-Party,No mechanism to revoke MCP server access or ensure data deletion when discontinuing use,MCP server can be disconnected but credential revocation and data deletion require manual requests,Documented offboarding process with credential revocation and data deletion on request,"Automated offboarding with immediate credential revocation, data purge, and confirmation receipt","Contractually guaranteed offboarding with verified data deletion, independent audit, and no residual access"
D-01,Dataset,Data Poisoning,Third-Party,Vendor provides no information about data integrity or provenance controls,Vendor claims data integrity practices exist but provides no evidence,"Vendor publishes a data sheet describing sources, collection methods, and basic integrity checks",Vendor provides independently verified provenance records with hash-based integrity validation,"Vendor maintains continuous, auditable data integrity pipeline with real-time anomaly detection and customer-facing evidence"
D-02,Dataset,PII Leakage,Third-Party,No Data Processing Agreement in place; Vendor handling of personal data is unknown,Generic privacy policy exists but no AI-specific DPA or data handling addendum,Signed DPA covers AI-specific processing with defined lawful bases and data categories,Vendor demonstrates automated PII detection and de-identification in data pipelines,Vendor holds privacy certification with continuous PII monitoring and customer-facing compliance dashboard
D-05,Dataset,Supply Chain Poisoning,Third-Party,Vendor does not disclose data sources or upstream dependencies,Vendor names primary data sources but provides no verification of their integrity,Vendor documents upstream data sources and applies basic verification checks before ingestion,Vendor maintains a vetted supplier registry with automated integrity checks on incoming data,Full upstream provenance chain auditable end-to-end with third-party attestation
D-06,Dataset,Over-Retention,Third-Party,No data retention policy disclosed; Unclear how long vendor stores your data,Vendor states a general retention policy but it is vague or not AI-specific,Contractual retention periods defined per data category with manual deletion on request,Automated retention enforcement with evidence of timely purging and customer notification,Continuous retention compliance with third-party verification and real-time customer visibility
D-07,Dataset,Lineage Gaps,Third-Party,Vendor provides no information about how data is transformed or versioned,Vendor tracks major dataset versions but provides no transformation history,"Vendor maintains documented data lineage showing sources, transformations, and versioning",Automated lineage tracking with customer-accessible audit trails per dataset version,"Immutable, cryptographically signed lineage records independently auditable"
D-11,Dataset,Data Residency,Third-Party,Vendor does not disclose where data is stored or processed,Vendor names hosting regions but makes no contractual commitment,Contractual commitment to data residency in specified regions,Vendor provides technical enforcement of residency with audit evidence,Continuous residency compliance with real-time monitoring and sovereign cloud options
D-12,Dataset,Training Data Consent,Third-Party,Vendor provides no information about how training data was sourced or licensed,Vendor makes general claims about data sourcing but provides no licensing evidence,Vendor documents data sources and applicable licenses in a data sheet or model card,Vendor provides evidence of license compliance and consent management processes,Independent legal review or certification of training data licensing with ongoing compliance monitoring
D-13,Dataset,Data Portability,Third-Party,No mechanism to export your data from the vendor platform,Data export possible via manual support request with no guaranteed format or timeline,Self-service data export in standard formats with documented process,Comprehensive export covering all data classes with contractual SLA on delivery,Real-time data portability with vendor-neutral formats and migration tooling
D-14,Dataset,Input Data Handling,Third-Party,"Vendor does not disclose how input/prompt data is stored, logged, or reused",Vendor acknowledges input data is logged but provides no detail on retention or reuse,"Vendor documents input data handling including storage duration, access, and opt-out of training reuse",Contractual guarantee that input data is not used for model improvement with technical enforcement,Verified zero-retention or customer-controlled encryption of input data with independent audit
D-15,Dataset,Right to Deletion,Third-Party,No mechanism to request deletion of your data from vendor systems,Deletion possible via email request with no SLA or confirmation,Documented deletion process with defined SLA and written confirmation,Deletion covers all data classes including backups and derived data with audit trail,Verified deletion with independent attestation and contractual penalty for non-compliance
M-01,Model,Prompt Injection,Third-Party,Vendor provides no prompt injection defenses and no mechanism to add your own,Vendor acknowledges prompt injection risk but offers only basic input length limits,Vendor implements system prompt isolation and basic pattern-based input filtering,Vendor provides layered injection defenses with customer-configurable guardrails,Continuous adversarial testing with published injection resistance benchmarks and SLA on defense updates
M-04,Model,Jailbreaking,Third-Party,Vendor provides no safety guardrails or jailbreak defenses,Vendor relies solely on base model safety tuning with no additional guardrails,Vendor implements output filtering and documents safety testing prior to release,Vendor conducts regular red-team exercises and shares results with customers,Continuous adversarial safety testing with real-time adaptive defenses and independent audit
M-06,Model,Overconfidence,Third-Party,Vendor exposes no confidence signals; Outputs are presented as deterministic facts,Vendor documents model limitations but provides no technical confidence signals,Vendor exposes basic confidence signals such as logprobs or abstention triggers,Vendor provides calibrated confidence scores with documented calibration methodology,Vendor provides uncertainty quantification with customer-configurable thresholds and human-review escalation
M-07,Model,Bias Amplification,Third-Party,Vendor publishes no bias testing or fairness disclosures,Vendor acknowledges bias risk in general terms without specific testing evidence,Vendor publishes bias evaluation results using standard benchmarks,Vendor conducts regular bias audits with third-party involvement and publishes updated results per release,Continuous bias monitoring with real-time mitigation and customer-facing fairness dashboard
M-09,Model,Performance Drift,Third-Party,Vendor does not notify customers of model changes or provide performance tracking,Vendor publishes occasional release notes but provides no systematic change notification,Vendor maintains a versioned changelog and notifies customers of model updates,Vendor provides model version pinning and customer-accessible performance benchmarks per version,Vendor guarantees performance stability SLAs with automated regression detection and customer alerting
