"atqro_code","atq_code","atqro_label","atqro_sequence","atqro_is_default","atqro_is_active","atqro_score_risk"
"A-01-R01","A-01","Vendor does not document what tools the agent can access or what actions it can take","1","Y","Y","0"
"A-01-R02","A-01","Vendor provides a general description of agent capabilities but no tool-level detail","2","N","Y","25"
"A-01-R03","A-01","Vendor publishes a tool inventory with defined permission boundaries per capability","3","N","Y","50"
"A-01-R04","A-01","Vendor enforces runtime tool policies with customer-configurable restrictions","4","N","Y","75"
"A-01-R05","A-01","Granular, auditable tool access with customer-defined policies and real-time enforcement","5","N","Y","100"
"A-02-R01","A-02","Vendor does not document agent objectives, constraints, or termination criteria","1","Y","Y","0"
"A-02-R02","A-02","Vendor describes agent purpose in general terms but provides no formal constraint specification","2","N","Y","25"
"A-02-R03","A-02","Vendor documents agent objectives, iteration limits, and termination conditions","3","N","Y","50"
"A-02-R04","A-02","Customer can configure agent objectives, constraints, and escalation behavior","4","N","Y","75"
"A-02-R05","A-02","Formal objective specification with runtime validation and independent audit of constraint adherence","5","N","Y","100"
"A-03-R01","A-03","Agent processes external data sources without any injection defense","1","Y","Y","0"
"A-03-R02","A-03","Vendor acknowledges indirect injection risk but provides no specific defenses","2","N","Y","25"
"A-03-R03","A-03","Vendor implements input sanitization and context boundary separation for external data","3","N","Y","50"
"A-03-R04","A-03","Vendor provides layered defenses with customer-configurable input policies and red-team evidence","4","N","Y","75"
"A-03-R05","A-03","Continuous adversarial testing against indirect injection with published benchmarks and real-time defense updates","5","N","Y","100"
"A-07-R01","A-07","Agent can send data to arbitrary external endpoints without restriction or logging","1","Y","Y","0"
"A-07-R02","A-07","Vendor claims egress controls exist but provides no customer visibility","2","N","Y","25"
"A-07-R03","A-07","Vendor documents permitted egress endpoints and provides basic activity logging","3","N","Y","50"
"A-07-R04","A-07","Customer can configure egress restrictions and receives real-time visibility into agent data flows","4","N","Y","75"
"A-07-R05","A-07","Verified egress controls with DLP scanning, customer-managed network policies, and independent audit","5","N","Y","100"
"A-08-R01","A-08","Agent executes all actions autonomously with no human approval gates","1","Y","Y","0"
"A-08-R02","A-08","Vendor provides post-execution notifications but no pre-execution approval","2","N","Y","25"
"A-08-R03","A-08","Vendor classifies actions by risk level and requires manual approval for high-risk actions","3","N","Y","50"
"A-08-R04","A-08","Customer can configure approval policies by action type, risk level, and context","4","N","Y","75"
"A-08-R05","A-08","Mandatory human-in-the-loop for all high-risk actions with contractual enforcement and audit trail","5","N","Y","100"
