"af_name","at_name","atmp_code","atq_code","atq_text","atq_response_type","atq_question_type","atq_is_mandatory","atq_is_active","atq_sequence"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-01","How well does your organisation manage API key lifecycle, including rotation frequency and monitoring for unusual usage?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-02","How effectively does your organisation enforce rate limiting at the API layer to prevent high-volume abuse?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-03","How comprehensively does your organisation validate and sanitise API inputs before processing?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-04","To what extent does your organisation enforce least privilege when issuing API token scopes?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-05","How well does your organisation control the information exposed in API error responses?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-06","How effectively does your organisation isolate API tenants to prevent one client affecting another's data or outputs?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-07","How comprehensively does your organisation enforce per-client usage quotas to prevent resource exhaustion?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-08","How effectively does your organisation's rate limiting detect and block adversarial request patterns?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-09","How comprehensively does your organisation log API usage and decisions to support audit and compliance?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position Internal AI Risk Framework","governr Position Internal API Risk Assessment","GOVR-INT-API-RISK","P-10","To what extent has your organisation replaced long-lived or legacy API credentials with short-lived rotated mechanisms?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-01","How effectively does your organisation restrict AI agent access to tools within their intended scope?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-02","How well does your organisation define and enforce clear objectives and termination criteria for AI agents?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-03","How effectively does your organisation isolate AI agent reasoning from untrusted external content?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-04","To what extent does your organisation enforce least-privilege principles on AI agent system permissions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-05","How effectively does your organisation isolate AI agent memory and state between sessions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-06","How comprehensively does your organisation apply iteration limits and loop detection to AI agent orchestration?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-07","How effectively does your organisation prevent AI agents from exfiltrating data through external calls or multi-hop chains?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position Internal AI Risk Framework","governr Position Internal Agent Risk Assessment","GOVR-INT-AGENT-RISK","A-08","To what extent does your organisation apply human oversight to high-risk or irreversible agent actions before execution?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
