"af_name","atmp_code","atq_code","atq_text","atq_response_type","atq_question_type","atq_is_mandatory","atq_is_active","atq_sequence"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q01","Do you detect and block malicious signals that could hijack AI orchestration workflows?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q02","Do AI decisions automatically comply with business and regulatory rules?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q03","Do you detect and inventory all unauthorised AI systems operating in your environment?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q04","Do you monitor for silent degradation or drift in AI recommendations over time?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q05","Are third-party AI integrations protected against compromise affecting downstream systems?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q06","Can you trace end-to-end AI decisions and actions for audits?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q07","Do you monitor and limit AI workloads to prevent compute or infrastructure exhaustion?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q08","Do you prevent over-automation leading to unintended consequences?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q09","Have you assessed switching costs and dependencies on single AI vendors?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","9"
"governr Position AI Risk Framework","GOVR-SYSTEM-RISK","SYS-Q10","Do you monitor for gradual erosion of ethical standards in AI usage?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","10"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q01","Do you protect models against malicious inputs that override system instructions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","1"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q02","Do you prevent attackers from querying models to steal weights or behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","2"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q03","Do you defend against crafted inputs designed to cause misclassification?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","3"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q04","Do you prevent bypassing of model safety guardrails and restrictions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","4"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q05","Do you stop reconstruction of training data from model outputs?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","5"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q06","Do you detect and mitigate high-confidence incorrect predictions?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","6"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q07","Do you identify and correct bias amplification from poisoned training data?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","7"
"governr Position AI Risk Framework","GOVR-MODEL-RISK","MDL-Q08","Do you scan for hidden triggers causing malicious model behaviour?","SINGLE_CHOICE","MULTIPLE_CHOICE_SINGLE","Y","Y","8"
